state,district,year,congress_nbr,vote
NC,1,1790,2,2730
NC,1,1798,6,3806
NC,1,1800,7,4015
NC,1,1806,10,3606
NC,1,1808,11,3286
NC,1,1810,12,3259
NC,1,1813,13,2589
NC,1,1815,14,3466
NC,1,1817,15,3608
NC,1,1821,17,4528
NC,1,1823,18,4546
NC,1,1825,19,4154
NC,2,1790,2,2908
NC,2,1796,5,3275
NC,2,1798,6,3751
NC,2,1800,7,3898
NC,2,1803,8,3149
NC,2,1804,9,2808
NC,2,1806,10,1442
NC,2,1808,11,3049
NC,2,1810,12,2934
NC,2,1813,13,2604
NC,2,1815,14,3724
NC,2,1821,17,1844
NC,2,1825,19,3136
NC,3,1798,6,3885
NC,3,1800,7,3975
NC,3,1803,8,3286
NC,3,1804,9,3609
NC,3,1806,10,4106
NC,3,1808,11,4368
NC,3,1813,13,2528
NC,3,1815,14,4391
NC,3,1819,16,3282
NC,3,1821,17,4586
NC,3,1823,18,4756
NC,3,1825,19,4950
NC,4,1793,3,1901
NC,4,1798,6,3680
NC,4,1800,7,3792
NC,4,1803,8,4429
NC,4,1804,9,2239
NC,4,1808,11,5219
NC,4,1810,12,5079
NC,4,1813,13,3706
NC,4,1817,15,3865
NC,4,1821,17,5007
NC,4,1825,19,4880
NC,5,1800,7,2706
NC,5,1803,8,3631
NC,5,1804,9,3234
NC,5,1810,12,4496
NC,5,1817,15,5020
NC,5,1819,16,4651
NC,5,1821,17,4298
NC,5,1825,19,5329
NC,6,1798,6,2741
NC,6,1800,7,2900
NC,6,1803,8,2401
NC,6,1804,9,1851
NC,6,1808,11,2404
NC,6,1815,14,3520
NC,6,1817,15,3107
NC,6,1821,17,3142
NC,6,1823,18,3180
NC,6,1825,19,2804
NC,7,1796,5,4018
NC,7,1798,6,2500
NC,7,1800,7,3957
NC,7,1803,8,5188
NC,7,1804,9,5520
NC,7,1806,10,5723
NC,7,1808,11,5406
NC,7,1810,12,5460
NC,7,1813,13,5278
NC,7,1817,15,5172
NC,7,1819,16,5307
NC,7,1821,17,6398
NC,7,1823,18,6043
NC,8,1793,3,2483
NC,8,1798,6,4110
NC,8,1803,8,3367
NC,8,1806,10,2714
NC,8,1808,11,4711
NC,8,1813,13,4050
NC,8,1815,14,3848
NC,8,1819,16,4680
NC,8,1823,18,4252
NC,8,1825,19,4544
NC,9,1798,6,4149
NC,9,1800,7,3962
NC,9,1803,8,4258
NC,9,1804,9,3216
NC,9,1806,10,4625
NC,9,1808,11,5210
NC,9,1810,12,5470
NC,9,1813,13,4598
NC,9,1815,14,5230
NC,9,1817,15,4583
NC,9,1823,18,3821
NC,10,1795,4,1734
NC,10,1796,5,3806
NC,10,1800,7,4254
NC,10,1803,8,3525
NC,10,1808,11,3854
NC,10,1810,12,3743
NC,10,1813,13,5087
NC,10,1815,14,5200
NC,10,1817,15,3818
NC,10,1819,16,4596
NC,10,1823,18,4948
NC,10,1825,19,6135
NC,11,1803,8,4318
NC,11,1806,10,2001
NC,11,1808,11,4833
NC,11,1810,12,5888
NC,11,1813,13,3704
NC,11,1815,14,4124
NC,11,1819,16,3790
NC,11,1821,17,3574
NC,11,1823,18,4659
NC,12,1803,8,4897
NC,12,1804,9,4700
NC,12,1806,10,4999
NC,12,1808,11,4894
NC,12,1815,14,4393
NC,12,1825,19,5908
NC,13,1813,13,3152
NC,13,1815,14,4193
NC,13,1825,19,5003
NJ,1,1813,13,18674
NJ,2,1813,13,24430
NJ,3,1813,13,10099
NY,1,1789,1,894
NY,1,1790,2,1669
NY,1,1793,3,2888
NY,1,1794,4,3481
NY,1,1796,5,1907
NY,1,1798,6,3260
NY,1,1800,7,4153
NY,1,1802,8,1543
